#frame,fps
0,3.362774
1,1.264893
2,1.393546
3,1.54484
4,1.712213
5,1.895763
6,2.097989
7,2.320912
8,2.566133
9,2.836188
10,3.132697
11,3.459037
12,3.816701
13,4.209194
14,4.638458
15,5.106981
16,5.616113
17,6.174321
18,6.775976
19,7.426214
20,8.134436
21,8.890344
22,9.706276
23,10.58259
24,11.51661
25,12.51604
26,13.56796
27,14.68052
28,15.74507
29,17.09379
30,18.38832
31,19.7258
32,21.08285
33,22.43617
34,23.7394
35,25.19803
36,26.65652
37,28.16566
38,29.6397
39,31.07377
40,32.53816
41,33.99451
42,35.38538
43,36.7934
44,38.11001
45,39.07574
46,40.23983
47,41.35054
48,42.44194
49,43.56321
50,44.46568
51,45.43294
52,46.30514
53,47.1935
54,47.82309
55,48.62341
56,48.94885
57,49.54805
58,50.0932
59,50.72553
60,51.09182
61,51.3765
62,51.87231
63,52.24937
64,52.55363
65,52.99121
66,53.23216
67,53.5708
68,53.93861
69,54.18087
70,54.40434
71,54.6533
72,54.84744
73,54.96447
74,54.89159
75,54.92661
76,55.17003
77,55.39665
78,55.3363
79,55.3375
80,55.46285
81,55.54834
82,55.66402
83,55.98611
84,55.86584
85,55.73138
86,55.74061
87,55.78275
88,55.70131
89,55.89569
90,55.84804
91,56.04842
92,56.00909
93,56.09915
94,56.08543
95,56.17094
96,55.94884
97,55.78093
98,55.64668
99,55.6764
100,55.80825
101,55.68186
102,55.68504
103,55.81177
104,55.73607
105,55.78741
106,55.69773
107,55.9461
108,55.89595
109,55.6526
110,55.53577
111,55.51355
112,55.65971
113,55.70306
114,55.71278
115,55.56188
116,55.5993
117,55.9003
118,55.86419
119,55.71338
120,55.66436
121,55.68692
122,55.71235
123,55.66507
124,55.67684
125,55.64901
126,55.39969
127,55.2272
128,55.30843
129,55.37772
130,55.422
131,55.52425
132,55.62205
133,55.60868
134,55.36993
135,55.38099
136,55.35488
137,55.38405
138,55.23378
139,55.29962
140,55.32195
141,55.49342
142,55.68106
143,55.86181
144,55.7346
145,55.75016
146,55.55404
147,55.74738
148,55.96721
149,55.9212
150,55.73733
151,55.74277
152,55.74089
153,55.74777
154,55.7452
155,55.84022
156,55.96179
157,56.00386
158,55.96532
159,55.80884
160,55.83576
161,55.9469
162,55.91689
163,55.78426
164,55.54622
165,55.72095
166,55.65928
167,55.74338
168,55.64008
169,55.73549
170,55.63276
171,55.65881
172,55.55454
173,55.73743
174,55.87466
175,55.47626
176,55.31076
177,55.45238
178,55.33611
179,55.08205
180,54.87029
181,54.10529
182,54.0041
183,53.96965
184,54.13609
185,54.30179
186,54.4025
187,54.59901
188,54.55313
189,54.91329
190,55.06039
191,55.20766
192,55.21441
193,55.0627
194,55.19333
195,55.19766
196,55.35297
197,55.42276
198,55.33401
199,55.38049
200,55.28915
201,55.42252
202,55.59241
203,55.58236
204,55.55256
205,55.71591
206,55.71582
207,55.65272
208,55.87056
209,55.80664
210,55.65994
211,55.62191
212,55.48846
213,55.4361
214,55.52752
215,55.71189
216,55.6219
217,55.71649
218,55.71059
219,55.6381
220,55.77554
221,56.00698
222,55.8465
223,55.95115
224,55.86159
225,55.96165
226,56.06547
227,56.11225
228,56.11005
229,56.09856
230,56.13086
231,56.07537
232,56.1432
233,56.17805
234,55.96919
235,56.04271
236,56.04275
237,55.27244
238,55.09533
239,55.12268
240,55.0552
241,55.27754
242,54.50852
243,54.37445
244,54.55114
245,54.63365
246,54.72676
247,54.7457
248,54.95524
249,54.81226
250,54.96923
251,55.27401
252,55.33606
253,55.37038
254,55.33472
255,55.36788
256,55.5532
257,55.79023
258,55.38774
259,54.97643
260,55.0537
261,55.03488
262,55.23667
263,55.36266
264,55.29758
265,54.91037
266,54.44676
267,54.91938
268,54.90931
269,55.06086
270,54.99718
271,55.07868
272,55.01379
273,55.0769
274,55.41732
275,55.54821
276,55.50649
277,55.64025
278,56.14861
279,56.16523
280,56.14076
281,56.28221
282,56.30829
283,56.22565
284,55.9589
285,55.85786
286,55.78217
287,55.94466
288,55.81408
289,55.93553
290,55.88968
291,55.75928
292,55.82703
293,55.91671
294,55.91288
295,55.81444
296,55.62762
297,55.57123
298,55.63393
299,55.73133
300,55.63222
301,55.55214
302,55.3599
303,55.49976
304,55.68247
305,55.71339
306,55.51772
307,55.71931
308,55.71785
309,55.64724
310,55.57949
311,55.55922
312,55.55045
313,55.47327
314,55.62794
315,55.57637
316,55.56542
317,55.70818
318,55.51421
319,55.61391
320,55.57167
321,55.68712
322,55.74911
323,55.86051
324,55.87228
325,55.77364
326,55.73184
327,55.63107
328,55.80718
329,55.91926
330,55.76441
331,55.86921
332,55.78094
333,55.91817
334,55.79023
335,55.99174
336,55.96729
337,55.97803
338,56.00359
339,56.04788
340,56.14224
341,56.17914
342,56.26914
343,56.29976
344,56.27069
345,56.24991
346,56.17474
347,56.18168
348,56.11853
349,56.16982
350,56.04008
351,56.05173
352,55.96295
353,56.05454
354,56.00283
355,55.81404
356,55.92984
357,55.91209
358,55.96426
359,55.93529
360,55.70139
361,55.81072
362,55.59445
363,55.52978
364,55.4629
365,55.59366
366,55.35374
367,55.3911
368,55.52758
369,55.58396
370,55.69075
371,55.83896
372,55.77921
373,55.83783
374,55.75779
375,55.52954
376,55.13628
377,55.10024
378,55.00527
379,54.76095
380,55.03141
381,55.20441
382,55.31517
383,55.30587
384,55.22376
385,55.3157
386,55.27963
387,55.85843
388,55.8487
389,55.82841
390,55.84453
391,55.86805
392,55.75762
393,55.72132
394,55.73215
395,55.83508
396,55.68847
397,55.64451
398,55.65796
399,55.65163
400,55.74123
401,55.72745
402,55.65279
403,55.59977
404,55.43601
405,55.55967
406,55.72695
407,55.79938
408,55.82631
409,55.85572
410,55.68018
411,55.675
412,55.63931
413,55.71864
414,55.51517
415,55.54048
416,55.46903
417,55.5697
418,55.44455
419,55.71377
420,55.48011
421,55.54686
422,55.47731
423,55.54486
424,55.56126
425,55.52429
426,55.37049
427,55.42547
428,55.37742
429,55.44395
430,55.39694
431,55.57444
432,55.5824
433,55.50657
434,55.42197
435,55.61723
436,55.56144
437,55.66978
438,55.44777
439,55.48533
440,55.40582
441,55.42377
442,55.30876
443,55.6441
444,55.567
445,55.39441
446,55.29311
447,55.18361
448,54.94312
449,54.7199
450,54.6625
451,54.683
452,54.74737
453,55.00225
454,55.10976
455,55.16703
456,55.01742
457,55.09094
458,55.27334
459,55.03915
460,55.05739
461,55.09163
462,54.9777
463,54.45768
464,54.24451
465,53.08376
466,53.28614
467,53.43354
468,53.55515
469,53.64722
470,53.90776
471,54.2688
472,54.39088
473,54.60694
474,54.72108
475,54.70947
476,54.67915
477,54.96588
478,55.06813
479,55.28661
480,55.3395
481,55.22922
482,55.08294
483,55.14692
484,55.38485
485,55.52045
486,55.46806
487,55.17937
488,54.96921
489,55.05652
490,55.14045
491,54.97794
492,54.89329
493,54.94491
494,55.02729
495,55.32093
496,55.38657
497,55.5135
498,55.50855
499,55.53354
500,55.49235
501,55.70521
502,55.68211
503,55.69055
504,55.69091
505,55.70517
506,55.68226
507,55.44169
508,55.35535
509,55.55963
510,55.4446
511,55.32454
512,55.20237
513,55.3177
514,55.31326
515,55.48104
516,55.43948
517,55.38871
518,55.36781
519,55.41114
520,55.56568
521,55.61361
522,55.35705
523,55.38809
524,55.14664
525,55.31232
526,55.36222
527,55.38564
528,55.2757
529,55.29048
530,55.48433
531,55.51279
532,55.48017
533,55.63037
534,55.54237
535,55.57048
536,55.52604
537,55.51163
538,55.67324
539,55.67292
540,55.67356
541,55.62306
542,55.56852
543,55.48272
544,55.63667
545,55.6791
546,55.70409
547,55.72436
548,55.52913
549,55.70177
550,55.66148
551,55.92587
552,56.07392
553,55.95119
554,55.77283
555,55.65344
556,55.61489
557,55.63584
558,55.42545
559,55.58854
560,55.60416
561,55.67132
562,55.80477
563,55.76538
564,55.35313
565,54.94061
566,54.96651
567,54.96044
568,55.10205
569,55.23226
570,55.37851
571,55.46194
572,55.3726
573,55.37455
574,55.25978
575,55.52052
576,55.53019
577,55.59358
578,55.59772
579,55.63915
580,55.49775
581,55.72007
582,56.48428
583,56.53028
584,56.42945
585,56.39764
586,56.31599
587,56.24287
588,56.22587
589,56.1741
590,56.22796
591,56.20421
592,56.16988
593,56.2225
594,56.18408
595,56.22269
596,56.04106
597,55.96232
598,55.95577
599,56.10954
600,55.787
601,55.72853
602,55.50087
603,55.59152
604,55.6027
605,55.51264
606,55.48646
607,55.35415
608,55.25966
609,55.25266
610,55.47017
611,55.48307
612,55.49619
613,55.27088
614,55.26993
615,55.47109
616,55.42569
617,56.49829
618,56.45875
619,56.34603
620,56.28643
621,56.27945
622,56.21487
623,56.03795
624,55.9763
625,56.06622
626,56.09444
627,56.00845
628,55.94408
629,56.07778
630,55.96909
631,56.08366
632,55.93333
633,55.7401
634,55.71104
635,55.75507
636,55.53708
637,55.38629
638,55.43299
639,55.50031
640,55.60416
641,55.67657
642,55.1711
643,54.97687
644,54.94025
645,54.84091
646,55.04936
647,55.08915
648,55.22033
649,55.22221
650,54.60575
651,54.48783
652,54.68607
653,54.85511
654,54.50899
655,54.18419
656,53.76213
657,54.06496
658,54.11903
659,54.27119
660,54.18573
661,54.1927
662,54.27131
663,54.21812
664,54.48117
665,54.4947
666,54.38832
667,54.67131
668,54.65727
669,54.74597
670,54.4918
671,54.80255
672,54.84469
673,54.99683
674,54.97094
675,54.95651
676,55.0536
677,55.15324
678,55.09693
679,55.27048
680,55.11319
681,55.25388
682,55.4074
683,55.41401
684,55.44891
685,55.41708
686,55.46103
687,55.26758
688,55.41827
689,55.40435
690,55.32898
691,55.45469
692,55.50956
693,55.57478
694,55.63903
695,55.61016
696,55.64761
697,55.79607
698,55.56939
699,55.54229
700,55.37663
701,55.4038
702,55.31602
703,55.23339
704,55.44442
705,55.38557
706,55.36602
707,55.45067
708,55.41121
709,55.4108
710,55.2942
711,55.33933
712,55.30674
713,55.4407
714,55.33179
715,55.21777
716,55.44045
717,55.54175
718,56.11969
719,56.21559
720,56.21684
721,56.08328
722,55.66926
723,55.46265
724,55.46605
725,55.37978
726,55.08555
727,54.91542
728,55.10067
729,55.05725
730,55.0332
731,55.13863
732,55.12149
733,55.19915
734,55.20236
735,56.11178
736,55.93059
737,55.95388
738,55.88257
739,55.8073
740,55.45392
741,55.69262
742,55.65421
743,55.63244
744,55.55966
745,55.61004
746,55.57578
747,55.6013
748,55.52729
749,55.63871
750,55.46479
751,55.57929
752,55.57615
753,55.60666
754,55.68939
755,55.7209
756,55.55587
757,55.45168
758,55.41887
759,55.48701
760,55.46049
761,55.58669
762,55.48784
763,55.59775
764,55.58382
765,55.58007
766,55.7033
767,55.70745
768,55.78892
769,55.73146
770,55.68794
771,55.55164
772,55.66109
773,55.7651
774,55.60227
775,55.5036
776,55.29434
777,55.0451
778,54.8867
779,55.58154
780,55.50484
781,55.50957
782,55.48506
783,55.52374
784,55.52671
785,55.408
786,55.23095
787,55.12296
788,55.15815
789,55.21806
790,55.35326
791,55.48532
792,55.45971
793,55.44582
794,55.42689
795,55.52325
796,55.52608
797,55.8208
798,55.71753
799,55.75893
800,55.63053
801,55.59825
802,55.62149
803,55.88892
804,55.8125
805,55.78605
806,55.53561
807,55.48993
808,55.61132
809,55.64989
810,55.49501
811,55.52528
812,55.50827
813,55.53307
814,55.61327
815,55.55695
816,55.66735
817,55.69629
818,55.56937
819,55.63808
820,55.43311
821,55.45009
822,55.36666
823,55.3318
824,55.28175
825,55.13492
826,55.14109
827,55.39293
828,55.42024
829,55.48132
830,55.36808
831,54.5618
832,54.52088
833,54.54652
834,54.14013
835,53.91388
836,53.6662
837,53.79589
838,53.88
839,54.21812
840,54.20564
841,54.3875
842,54.4391
843,54.32605
844,54.5505
845,54.64706
846,54.90897
847,54.93557
848,54.82412
849,55.07535
850,54.99123
851,55.20721
852,55.80532
853,55.96517
854,55.65332
855,55.65406
856,55.72351
857,55.64126
858,55.59572
859,55.58261
860,55.70546
861,55.55556
862,55.65007
863,56.45984
864,56.30798
865,55.97789
866,55.88879
867,55.92162
868,55.79011
869,55.70869
870,55.59259
871,55.56056
872,55.39223
873,55.71631
874,55.74046
875,55.11324
876,54.58264
877,54.2002
878,53.84917
879,53.46047
880,53.8792
881,53.97462
882,54.10268
883,54.28114
884,54.42267
885,54.75649
886,54.76647
887,54.66568
888,54.76571
889,54.89842
890,54.8806
891,54.95183
892,55.14993
893,54.77336
894,54.32687
895,54.57432
896,54.62978
897,54.69442
898,54.72243
899,54.91269
900,54.77299
901,54.74936
902,54.9629
903,55.02111
904,55.12121
905,55.22557
906,55.14072
907,55.3349
908,55.46094
909,55.55525
910,55.55312
911,55.52662
912,55.50889
913,55.47983
914,55.31907
915,55.6067
916,55.55592
917,55.69001
918,55.68003
919,55.55721
920,55.52654
921,55.69611
922,56.42937
923,56.44688
924,56.29415
925,55.77779
926,55.34725
927,55.27347
